setup_code,setup_definition,high_lookback_days,leader,laggard,context_filter,trigger_code,trigger_definition,setup_idx,setup_date,trigger_idx,trigger_date,leader_strength_definition,laggard_definition,branch_id,direction,horizon_day,laggard_abs_return,leader_abs_return,excess_return
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T1,relative-strength turn,80,2006-04-28,84.0,2006-05-04,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T1_DIA_leads,DIA leads / QQQ lags,2,0.008845462035226959,0.012418627171544516,-0.0035731651363175576
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T1,relative-strength turn,80,2006-04-28,84.0,2006-05-04,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T1_DIA_leads,DIA leads / QQQ lags,3,0.005020541437670278,0.01757973253435008,-0.0125591910966798
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T1,relative-strength turn,80,2006-04-28,84.0,2006-05-04,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T1_DIA_leads,DIA leads / QQQ lags,4,-0.0038248139884760057,0.019504323495102893,-0.0233291374835789
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T1,relative-strength turn,80,2006-04-28,84.0,2006-05-04,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T1_DIA_leads,DIA leads / QQQ lags,5,-0.026057498115151456,0.007521237027071859,-0.033578735142223315
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,82,2006-05-02,84.0,2006-05-04,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,1,0.007889071972216888,0.011369899210267986,-0.0034808272380510985
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,82,2006-05-02,84.0,2006-05-04,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,2,0.008845462035226959,0.012418627171544516,-0.0035731651363175576
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,82,2006-05-02,84.0,2006-05-04,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,3,0.005020541437670278,0.01757973253435008,-0.0125591910966798
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,82,2006-05-02,84.0,2006-05-04,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,4,-0.0038248139884760057,0.019504323495102893,-0.0233291374835789
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,82,2006-05-02,84.0,2006-05-04,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,5,-0.026057498115151456,0.007521237027071859,-0.033578735142223315
S2,rolling divergence,60,DIA,QQQ,SPY,T5,gap compression,82,2006-05-02,85.0,2006-05-05,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T5_DIA_leads,DIA leads / QQQ lags,1,0.0009489040903467583,0.0010369380798216365,-8.803398947487828e-05
S2,rolling divergence,60,DIA,QQQ,SPY,T5,gap compression,82,2006-05-02,85.0,2006-05-05,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T5_DIA_leads,DIA leads / QQQ lags,2,-0.0028460776233374396,0.006140021893998426,-0.008986099517335866
S2,rolling divergence,60,DIA,QQQ,SPY,T5,gap compression,82,2006-05-02,85.0,2006-05-05,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T5_DIA_leads,DIA leads / QQQ lags,3,-0.01162219760729355,0.008042976453211281,-0.01966517406050483
S2,rolling divergence,60,DIA,QQQ,SPY,T5,gap compression,82,2006-05-02,85.0,2006-05-05,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T5_DIA_leads,DIA leads / QQQ lags,4,-0.03368085936376142,-0.003805395223054786,-0.02987546414070663
S2,rolling divergence,60,DIA,QQQ,SPY,T5,gap compression,82,2006-05-02,85.0,2006-05-05,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T5_DIA_leads,DIA leads / QQQ lags,5,-0.04672657176850081,-0.015221272554996279,-0.031505299213504534
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T1,relative-strength turn,87,2006-05-09,95.0,2006-05-19,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T1_DIA_leads,DIA leads / QQQ lags,1,-0.009656790737386678,-0.004485959760572977,-0.005170830976813701
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T1,relative-strength turn,87,2006-05-09,95.0,2006-05-19,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T1_DIA_leads,DIA leads / QQQ lags,2,-0.019313808130738797,-0.009868643543267996,-0.0094451645874708
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T1,relative-strength turn,87,2006-05-09,95.0,2006-05-19,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T1_DIA_leads,DIA leads / QQQ lags,3,-0.012706446752960399,-0.003050903551546136,-0.009655543201414263
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T1,relative-strength turn,87,2006-05-09,95.0,2006-05-19,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T1_DIA_leads,DIA leads / QQQ lags,4,0.00025396800932364627,0.005202530735556099,-0.004948562726232453
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T1,relative-strength turn,87,2006-05-09,95.0,2006-05-19,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T1_DIA_leads,DIA leads / QQQ lags,5,0.003557932018169563,0.01175067924292339,-0.008192747224753827
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,88,2006-05-10,95.0,2006-05-19,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,1,-0.009656790737386678,-0.004485959760572977,-0.005170830976813701
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,88,2006-05-10,95.0,2006-05-19,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,2,-0.019313808130738797,-0.009868643543267996,-0.0094451645874708
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,88,2006-05-10,95.0,2006-05-19,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,3,-0.012706446752960399,-0.003050903551546136,-0.009655543201414263
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,88,2006-05-10,95.0,2006-05-19,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,4,0.00025396800932364627,0.005202530735556099,-0.004948562726232453
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,88,2006-05-10,95.0,2006-05-19,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,5,0.003557932018169563,0.01175067924292339,-0.008192747224753827
S2,rolling divergence,60,QQQ,DIA,SPY,T1,relative-strength turn,183,2006-09-25,186.0,2006-09-28,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_QQQ_leads,QQQ leads / DIA lags,1,-0.0013683727815686497,-0.004408731373802599,0.0030403585922339493
S2,rolling divergence,60,QQQ,DIA,SPY,T1,relative-strength turn,183,2006-09-25,186.0,2006-09-28,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_QQQ_leads,QQQ leads / DIA lags,2,-0.0023952063240456622,-0.01689937334622127,0.014504167022175607
S2,rolling divergence,60,QQQ,DIA,SPY,T1,relative-strength turn,183,2006-09-25,186.0,2006-09-28,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_QQQ_leads,QQQ leads / DIA lags,3,0.0020533649269718346,-0.01273575329953991,0.014789118226511744
S2,rolling divergence,60,QQQ,DIA,SPY,T1,relative-strength turn,183,2006-09-25,186.0,2006-09-28,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_QQQ_leads,QQQ leads / DIA lags,4,0.012746836632546055,0.011510742082996961,0.0012360945495490938
S2,rolling divergence,60,QQQ,DIA,SPY,T1,relative-strength turn,183,2006-09-25,186.0,2006-09-28,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_QQQ_leads,QQQ leads / DIA lags,5,0.014713985815294262,0.01640904160816592,-0.001695055792871658
S2,rolling divergence,60,QQQ,DIA,SPY,T5,gap compression,183,2006-09-25,184.0,2006-09-26,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T5_QQQ_leads,QQQ leads / DIA lags,1,0.003345705272752797,-0.001225940963219041,0.004571646235971838
S2,rolling divergence,60,QQQ,DIA,SPY,T5,gap compression,183,2006-09-25,184.0,2006-09-26,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T5_QQQ_leads,QQQ leads / DIA lags,2,0.0026593963976055957,0.0014723963912195437,0.001187000006386052
S2,rolling divergence,60,QQQ,DIA,SPY,T5,gap compression,183,2006-09-25,184.0,2006-09-26,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T5_QQQ_leads,QQQ leads / DIA lags,3,0.0012873845703909037,-0.0029428263827476764,0.00423021095313858
S2,rolling divergence,60,QQQ,DIA,SPY,T5,gap compression,183,2006-09-25,184.0,2006-09-26,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T5_QQQ_leads,QQQ leads / DIA lags,4,0.00025782027049015,-0.015451859531330436,0.015709679801820586
S2,rolling divergence,60,QQQ,DIA,SPY,T5,gap compression,183,2006-09-25,184.0,2006-09-26,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T5_QQQ_leads,QQQ leads / DIA lags,5,0.004718222035867248,-0.011282108985517958,0.016000331021385206
S2,rolling divergence,60,QQQ,DIA,SPY,T1,relative-strength turn,225,2006-11-22,227.0,2006-11-27,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_QQQ_leads,QQQ leads / DIA lags,1,0.0012382989417900614,0.0029787197995869708,-0.0017404208577969094
S2,rolling divergence,60,QQQ,DIA,SPY,T1,relative-strength turn,225,2006-11-22,227.0,2006-11-27,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_QQQ_leads,QQQ leads / DIA lags,2,0.010073066998016023,0.009853167464247914,0.00021989953376810867
S2,rolling divergence,60,QQQ,DIA,SPY,T1,relative-strength turn,225,2006-11-22,227.0,2006-11-27,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_QQQ_leads,QQQ leads / DIA lags,3,0.00966059122818308,0.009165998259470731,0.0004945929687123485
S2,rolling divergence,60,QQQ,DIA,SPY,T1,relative-strength turn,225,2006-11-22,227.0,2006-11-27,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_QQQ_leads,QQQ leads / DIA lags,4,0.007760723377323364,0.0004586571225706493,0.007302066254752715
S2,rolling divergence,60,QQQ,DIA,SPY,T1,relative-strength turn,225,2006-11-22,227.0,2006-11-27,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_QQQ_leads,QQQ leads / DIA lags,5,0.013953670806758689,0.014206838032697844,-0.00025316722593915486
S2,rolling divergence,60,QQQ,DIA,SPY,T5,gap compression,225,2006-11-22,233.0,2006-12-05,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T5_QQQ_leads,QQQ leads / DIA lags,1,-0.0017022463699973844,-0.003602019553419211,0.0018997731834218268
S2,rolling divergence,60,QQQ,DIA,SPY,T5,gap compression,225,2006-11-22,233.0,2006-12-05,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T5_QQQ_leads,QQQ leads / DIA lags,2,-0.004863995716002156,-0.01620858665151148,0.011344590935509324
S2,rolling divergence,60,QQQ,DIA,SPY,T5,gap compression,225,2006-11-22,233.0,2006-12-05,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T5_QQQ_leads,QQQ leads / DIA lags,3,-0.002917769890862454,-0.01170656354861288,0.008788793657750427
S2,rolling divergence,60,QQQ,DIA,SPY,T5,gap compression,225,2006-11-22,233.0,2006-12-05,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T5_QQQ_leads,QQQ leads / DIA lags,4,-0.0001622092558350996,-0.008104644262968641,0.007942435007133541
S2,rolling divergence,60,QQQ,DIA,SPY,T5,gap compression,225,2006-11-22,233.0,2006-12-05,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T5_QQQ_leads,QQQ leads / DIA lags,5,-0.001377732776700169,-0.013957675367837208,0.012579942591137039
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,243,2006-12-19,251.0,2007-01-03,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,1,0.018963518202833374,0.0016869073937746393,0.017276610809058734
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,243,2006-12-19,251.0,2007-01-03,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,2,0.014107131650718863,-0.005865031807259724,0.019972163457978587
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,243,2006-12-19,251.0,2007-01-03,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,3,0.014800945249012543,-0.002651552638061272,0.017452497887073815
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,243,2006-12-19,251.0,2007-01-03,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,4,0.019888705879206325,-0.0032138551026528184,0.023102560981859144
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,243,2006-12-19,251.0,2007-01-03,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,5,0.03191542552151749,-0.00032151708697436554,0.03223694260849186
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,244,2006-12-20,251.0,2007-01-03,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,1,0.018963518202833374,0.0016869073937746393,0.017276610809058734
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,244,2006-12-20,251.0,2007-01-03,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,2,0.014107131650718863,-0.005865031807259724,0.019972163457978587
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,244,2006-12-20,251.0,2007-01-03,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,3,0.014800945249012543,-0.002651552638061272,0.017452497887073815
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,244,2006-12-20,251.0,2007-01-03,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,4,0.019888705879206325,-0.0032138551026528184,0.023102560981859144
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,244,2006-12-20,251.0,2007-01-03,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,5,0.03191542552151749,-0.00032151708697436554,0.03223694260849186
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T1,relative-strength turn,248,2006-12-27,251.0,2007-01-03,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T1_DIA_leads,DIA leads / QQQ lags,1,0.018963518202833374,0.0016869073937746393,0.017276610809058734
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T1,relative-strength turn,248,2006-12-27,251.0,2007-01-03,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T1_DIA_leads,DIA leads / QQQ lags,2,0.014107131650718863,-0.005865031807259724,0.019972163457978587
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T1,relative-strength turn,248,2006-12-27,251.0,2007-01-03,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T1_DIA_leads,DIA leads / QQQ lags,3,0.014800945249012543,-0.002651552638061272,0.017452497887073815
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T1,relative-strength turn,248,2006-12-27,251.0,2007-01-03,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T1_DIA_leads,DIA leads / QQQ lags,4,0.019888705879206325,-0.0032138551026528184,0.023102560981859144
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T1,relative-strength turn,248,2006-12-27,251.0,2007-01-03,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T1_DIA_leads,DIA leads / QQQ lags,5,0.03191542552151749,-0.00032151708697436554,0.03223694260849186
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T5,gap compression,248,2006-12-27,252.0,2007-01-04,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T5_DIA_leads,DIA leads / QQQ lags,1,-0.004766006304798842,-0.007539221232992999,0.0027732149281941565
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T5,gap compression,248,2006-12-27,252.0,2007-01-04,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T5_DIA_leads,DIA leads / QQQ lags,2,-0.004085104990964261,-0.004331153776506724,0.0002460487855424631
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T5,gap compression,248,2006-12-27,252.0,2007-01-04,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T5_DIA_leads,DIA leads / QQQ lags,3,0.0009079693824609603,-0.00489250928633822,0.0058004786687991805
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T5,gap compression,248,2006-12-27,252.0,2007-01-04,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T5_DIA_leads,DIA leads / QQQ lags,4,0.01271086460634785,-0.0020050421603039492,0.014715906766651798
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T5,gap compression,248,2006-12-27,252.0,2007-01-04,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T5_DIA_leads,DIA leads / QQQ lags,5,0.02315074563439201,0.0024861772187052544,0.020664568415686757
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,249,2006-12-28,251.0,2007-01-03,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,1,0.018963518202833374,0.0016869073937746393,0.017276610809058734
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,249,2006-12-28,251.0,2007-01-03,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,2,0.014107131650718863,-0.005865031807259724,0.019972163457978587
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,249,2006-12-28,251.0,2007-01-03,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,3,0.014800945249012543,-0.002651552638061272,0.017452497887073815
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,249,2006-12-28,251.0,2007-01-03,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,4,0.019888705879206325,-0.0032138551026528184,0.023102560981859144
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,249,2006-12-28,251.0,2007-01-03,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,5,0.03191542552151749,-0.00032151708697436554,0.03223694260849186
